Nama pembeli,Tanggal pembelian,Review,Column 4
vimitel_88,2023-06-03 19:28 | Variasi: Lifetime,,vimitel_882023-06-03 19:28 | Variasi: LifetimeSepadan dengan Harga: Fitur chat gpt 4 dan adminnya sangat responsif dan ramahFitur Terbaik: Chat gpt 4 jawabanya masuk akal dan lebih kerenKekuranganya karna akun sharing ada batas chatnya tapi gak masalah sih23Laporkan Penyalahgunaan
mc_2502,2024-08-24 14:36 | Variasi: 1 Bulan,,mc_25022024-08-24 14:36 | Variasi: 1 BulanFungsi: baikDesain: modernPenggunaan: sangat membantuTerma kasih! Pelayanan bagus dan kualitas bagus. Next time saya akan repeat order. Terima kasih juga kepada ekspedisi dan kurir yang telah antar paket saya..Membantu?Laporkan Penyalahgunaan
sellav01,2024-06-02 22:18 | Variasi: 1 Bulan,,"sellav012024-06-02 22:18 | Variasi: 1 BulanFungsi: bagusDesain: bagusPenggunaan: bagusso far bagus seller jg bisa di ajak komunikasi meskipun ada sempat miss aplikasi, udah sering beli l0kl0k disini ini jg ch4tgpt beli ke 2x trustedMembantu?Laporkan Penyalahgunaan"
whysclouvly,2024-09-19 07:11 | Variasi: 1 Bulan,,"whysclouvly2024-09-19 07:11 | Variasi: 1 BulanFungsi: goodDesain: goodPenggunaan: good""hahaha, i think the same too, but my mom is too old to take to the concert with.""

Tap on a clip to paste it in the text box.Welcome to Gboard clipboard, any text you copy will be saved here.Touch and hold a clip to pin it. Unpinned clips will be deleted after 1 hour.Use the edit icon to pin, add or delete clips.1Laporkan Penyalahgunaan"
chanraharjo,2023-05-08 22:15 | Variasi: 1 Bulan,,"chanraharjo2023-05-08 22:15 | Variasi: 1 BulanSangat rekomendasi sekali baik dari segi pelayanan penjualan,  staff yg ramah dan sangat membantu di dalam setiap pertanyaan. Bahkan saya diinfo untuk kepastian yang sudah saya beli apakah benar. Tolo lain pasti tidak peduli yg penting sudah bayar lamgsung kemas dan kirim tidak akan pusing salah atau tidakMembantu?Laporkan Penyalahgunaan"
ubaidillahptiq,2024-07-10 03:35 | Variasi: 1 Bulan,,ubaidillahptiq2024-07-10 03:35 | Variasi: 1 BulanFungsi: membuat sintesis kata sesuai perintah kitaDesain: lumayan bagus dan desain elegan aerodinamis dan cepatPenggunaan: membuat sintesis dan outline kata yang kita inginkan jadi konsep kalimat mengikuti desain yang kita mau dan inginkanbagus sesuai deskripsi dan iklan tetapi ada batasan nya cepat sekali tokennya habis jadi kita tunggu antrian supaya bisa dipake tapi saya saranin pakenya malem karena yang make sedikit jadi saya sering pakenya chatgpt malam ukan pagiMembantu?Laporkan Penyalahgunaan
achil321,2023-03-27 21:30 | Variasi: 1 Bulan,,achil3212023-03-27 21:30 | Variasi: 1 BulanTerimakasih Aplikasinya berfungsi dengan baik. Pelayanan dan produk terbaik. Admin selalu membantu dan respon cepat. Senang berbelanja di sini. Sekali lagi terimakasih Admin...!28Laporkan Penyalahgunaan
,2023-07-11 22:14 | Variasi: 1 Bulan,,"i*****q2023-07-11 22:14 | Variasi: 1 BulanSepadan dengan Harga: yesFitur Terbaik: Gpt4 plugins & code interpreterMantap, proses cepat, akun langsung bisa dipakai dengan lancar meskipun pake gpt4 nya harus cepet²an karena shared, cocok buat saya yg butuhnya kadang² aja. Sekarang udah ada code interpreter nya juga, mantaps 0:0638Laporkan Penyalahgunaan"
mampir.yuksini_,2023-10-07 19:34 | Variasi: 1 Bulan,,"mampir.yuksini_2023-10-07 19:34 | Variasi: 1 BulanFitur Terbaik: MantappppppppppSepadan dengan Harga: Sangattt TerjangkauBaguss , dari pelayanan juga bagusss 
Recomend saya sudah order lebih dari 1 kalii 0:087Laporkan Penyalahgunaan"
,2023-10-22 17:03 | Variasi: 1 Bulan,,m*****n2023-10-22 17:03 | Variasi: 1 BulanFitur Terbaik: mantapSepadan dengan Harga: sesuaiPke..programnya sidah bisa dipakai..tapi ya memang rebutan sih..kadang ga dapat krn kiata 3 jam an udah penuh.. 0:053Laporkan Penyalahgunaan
Pengguna Shopee,2023-10-09 09:44 | Variasi: 1 Bulan,,Pengguna Shopee2023-10-09 09:44 | Variasi: 1 BulanFitur Terbaik: BagusSepadan dengan Harga: SepadanSaya sudah pakai dan memang chatgpt nya sudah versi pro 0:072Laporkan Penyalahgunaan
nurfebrianasari,2024-03-02 19:13 | Variasi: 1 Bulan,,"nurfebrianasari2024-03-02 19:13 | Variasi: 1 BulanPacking rapi aman dan terkendali. 
Pengiriman lancar jaya sampai ke Belitung. 
Anak sy suka sekali.... 
Alhamdulillah.... 
Thanks to seller. 
Thanks to shoppe. 
Semoga Berkah buat kita semua. 
AamiinMembantu?Laporkan Penyalahgunaan"
,2024-01-04 19:47 | Variasi: 1 Bulan,,s*****42024-01-04 19:47 | Variasi: 1 BulanAdminnya sangat fast respon. Lalu barangnya juga bagus. Keren lah. 0:04Membantu?Laporkan Penyalahgunaan
rivaldo2409,2023-07-14 19:08 | Variasi: 1 Bulan,,"rivaldo24092023-07-14 19:08 | Variasi: 1 BulanFitur Terbaik: rekomendasiSepadan dengan Harga: sepadanRespon cepat, tidak bertele2… rekomendasi2Laporkan Penyalahgunaan"
,2023-03-19 10:30 | Variasi: 1 Bulan,,"r*****n2023-03-19 10:30 | Variasi: 1 BulanSeller fast respon banget, no minus, proses cepat, langsung bisa digunakan, keren30Laporkan Penyalahgunaan"
ahmadsyagif,2023-07-13 21:47 | Variasi: 1 Bulan,,ahmadsyagif2023-07-13 21:47 | Variasi: 1 BulanSepadan dengan Harga: sepadanFitur Terbaik: plus plusMantap sellernya gkpke lama langsung plus bs chat sepuasnya. Gk perlu diragukan lagi. Trimaksih semoga berkah dan manfaat4Laporkan Penyalahgunaan
,2023-05-29 21:39 | Variasi: 1 Bulan,,"m*****n2023-05-29 21:39 | Variasi: 1 BulanSepadan dengan Harga: masih trial sebulan, cocok lanjutFitur Terbaik: emang ga kaleng"" gpt 3.5 dan 4 kualitas jawabannya bisa bikin lebih paham dari gpt 3Buat user lain, tolong lu harus tau ini akun sharing. Ada limit 25 pesan per 3 jam. Gw liat yg make GPT 4 pertanyaannya kaya bocah SD, padahal GPT 3.5 sudah cukup buat jawab pertanyaan lu. Bukannya ngelarang make, tapi lu harus tahu fungsinya dulu lah, biar user lain bisa pakai GPT 4 juga. Haduh, kalau FOMO minimal ga boleh minim literasi ygy ✌9Laporkan Penyalahgunaan"
karjaw,2023-08-21 08:01 | Variasi: 1 Bulan,,karjaw2023-08-21 08:01 | Variasi: 1 BulanSepadan dengan Harga: harga murah sayangnya gak pernah bisa di pakai karena limit. harus sabar menunggu jam dan keroyokan sama user lain.Fitur Terbaik: bentrok melulu karena akun shared.5Laporkan Penyalahgunaan
otetatsuya,2023-07-07 09:04 | Variasi: 3 Bulan,,otetatsuya2023-07-07 09:04 | Variasi: 3 BulanFitur Terbaik: Murah dan cepatSepadan dengan Harga: sepadanHanya mesti bersabar karena yang pake kadang banyak.6Laporkan Penyalahgunaan
randyfahrizall,2023-07-25 16:35 | Variasi: 3 Bulan,,"randyfahrizall2023-07-25 16:35 | Variasi: 3 BulanFitur Terbaik: TERBAIK , GAK BOHONGSepadan dengan Harga: SANGAT WORTH ITAdmin ramah1Laporkan Penyalahgunaan"
airlangit,2023-06-02 06:31 | Variasi: 1 Bulan,,"airlangit2023-06-02 06:31 | Variasi: 1 BulanSepadan dengan Harga: real chatGPT plus premiumFitur Terbaik: ada 2 pilihan versi 3,5 atau versi 4harga murah real akun recommended sellerMembantu?Laporkan Penyalahgunaan"
,2023-03-30 07:54 | Variasi: 1 Bulan,,"k*****12023-03-30 07:54 | Variasi: 1 Bulanakun berfungsi, tp terlalu sering dihapus history chatnya. setidaknya tunggu 24 jam baru hapus1Laporkan Penyalahgunaan"
seraga_santri,2023-03-30 12:56 | Variasi: 1 Bulan,,seraga_santri2023-03-30 12:56 | Variasi: 1 BulanSepadan dengan Harga: lumayan sepan dengan hargakalau ngak mau rebutan atau error karna history di hapus orang rekomendasi yang privat1Laporkan Penyalahgunaan
riozalukhu_1210,2023-05-05 09:04 | Variasi: 1 Bulan,,"riozalukhu_12102023-05-05 09:04 | Variasi: 1 BulanSepadan dengan Harga: worth it lah kalo mau beli, saran kalo mau yg enak beli yg private ajaFitur Terbaik: gpt 41Laporkan Penyalahgunaan"
achmad.hamdiyat,2023-09-05 04:19 | Variasi: 3 Bulan,,"achmad.hamdiyat2023-09-05 04:19 | Variasi: 3 BulanPelayanan oke.. Walaupun antriannya mayan, seller amanah dan bertanggung jawab..Membantu?Laporkan Penyalahgunaan"
randyfahrizall,2023-07-01 09:03 | Variasi: 1 Bulan,,"randyfahrizall2023-07-01 09:03 | Variasi: 1 BulanSepadan dengan Harga: saya sangat senangFitur Terbaik: mantap saya sangat sukaSaya sangat suka , LANCAR JAYAMembantu?Laporkan Penyalahgunaan"
,2023-07-15 20:48 | Variasi: 1 Bulan,,z*****r2023-07-15 20:48 | Variasi: 1 BulanSepadan dengan Harga: sesuai sepadan dengan hargaFitur Terbaik: mantapRekomendasi dah aman sentosa belm ada kendala1Laporkan Penyalahgunaan
,2024-02-15 16:57 | Variasi: 3 Bulan,,"r*****12024-02-15 16:57 | Variasi: 3 BulanSangat sangattt bagus sekali, respon dari admin juga sangat cepat dan super ramahhh. Ga nyesel buat beli disini dan bakal repeat order. Makasihhh banyakkk🙏🏼🙏🏼🔥🌾Membantu?Laporkan Penyalahgunaan"
,2024-05-31 21:24 | Variasi: 1 Bulan,,"a*****_2024-05-31 21:24 | Variasi: 1 BulanSangat rekomendasi untuk kawan kawan lain. 
Seller ramah, respon chat 24 jam. 
Pokoknya gak bakalan kecewa. 
Cuma harus sabarr okey.Membantu?Laporkan Penyalahgunaan"
bennicael,2024-03-30 16:25 | Variasi: 1 Bulan,,"bennicael2024-03-30 16:25 | Variasi: 1 BulanProduk samgat oke, admin fast resp terkait garansi, produk juga original pokonya sgt recommendMembantu?Laporkan Penyalahgunaan"
sonsi71003,2024-03-16 10:37 | Variasi: Lifetime,,"sonsi710032024-03-16 10:37 | Variasi: LifetimeBagus banget kedua kalinya beli dsini, kata aku gausah ragu langsung co aja, responnya cepat dibantu juga dan gptnya kenceng kerenMembantu?Laporkan Penyalahgunaan"
arry_hutomo,2023-06-04 10:28 | Variasi: Lifetime,,"arry_hutomo2023-06-04 10:28 | Variasi: LifetimeThanks for this seller, very helpfull and kindness juara deh terbaikMembantu?Laporkan Penyalahgunaan"
imampasli,2023-10-21 19:41 | Variasi: 6 Bulan,,"imampasli2023-10-21 19:41 | Variasi: 6 BulanRespon penjualnya cepat, komunikasinya bagus sehingga sangat membantu dlm menginstall aplikasinya. MantulMembantu?Laporkan Penyalahgunaan"
finakholijz,2024-02-04 08:20 | Variasi: 3 Bulan,,"finakholijz2024-02-04 08:20 | Variasi: 3 BulanUdh pesen 2x, fast respon, psen 3 bln ya bnr2 smpe 3 bln. Mantap. Pertahankan biar bs jd langgananMembantu?Laporkan Penyalahgunaan"
,2024-01-01 06:50 | Variasi: 1 Bulan,,a*****n2024-01-01 06:50 | Variasi: 1 BulanMudah digunakan dan sangat bermanfaat untuk todler yang ingin mencari artikel tugas paud. 🙏Membantu?Laporkan Penyalahgunaan
faditukche,2023-06-22 17:39 | Variasi: 1 Bulan,,faditukche2023-06-22 17:39 | Variasi: 1 BulanPUAS BANGET SAMA PROSESNYA.. JUGA FAST RESPON TIDAK BERTELE TELE REKOMEN BGTMembantu?Laporkan Penyalahgunaan
hamzafq_,2023-12-05 16:08 | Variasi: 1 Bulan,,hamzafq_2023-12-05 16:08 | Variasi: 1 Bulanceffat pelayanannya dan works like a charm. great product. gpt 4 abit overrated tho frMembantu?Laporkan Penyalahgunaan
firdausvolte,2023-05-08 10:25 | Variasi: 1 Bulan,,"firdausvolte2023-05-08 10:25 | Variasi: 1 BulanFitur Terbaik: tersedia juga GPT 4 hanya saja dibatasi oleh WaktuSepadan dengan Harga: ada fitur ada pula hargaSemoga kedepannya respon penjualnya lebih cepat lagi dan layanan berlangganan lebih variatif dan beragam
Terimakasih 🙏🏻 jaya dan sukses selalu5Laporkan Penyalahgunaan"
orlandospyro,2024-04-12 20:50 | Variasi: Lifetime,,orlandospyro2024-04-12 20:50 | Variasi: LifetimePelayanan Cepat dengan Harga terbaik. Udah pembelian ke-2 kali. Thank you dan sukses terus seller!Membantu?Laporkan Penyalahgunaan
,2024-02-03 09:10 | Variasi: 1 Bulan,,"k*****i2024-02-03 09:10 | Variasi: 1 BulanMakasih, sellernya sangat fastresp dan baik, memastikan berkali-kali dan di guide sampai bisa 🫶🏻🫶🏻🥺 kewren pollMembantu?Laporkan Penyalahgunaan"
,2023-12-10 06:52 | Variasi: 1 Bulan,,"a*****82023-12-10 06:52 | Variasi: 1 BulanMantap seller amanah, barang sesuai. Repeat order lah gass 0:04Membantu?Laporkan Penyalahgunaan"
ditanr_29,2023-12-25 17:53 | Variasi: 1 Bulan,,"ditanr_292023-12-25 17:53 | Variasi: 1 BulanProduk bagus dan Puas belanja!
Harga terjangkau, kualitas oke. Rekomendasi!
Pelayanan ramah dan cepat, barang sesuai harapan.Membantu?Laporkan Penyalahgunaan"
,2023-08-10 07:28 | Variasi: 3 Bulan,,s*****r2023-08-10 07:28 | Variasi: 3 BulanMakasih banyak kak atas pelayanannya yang super ramah dan kualitas produknya sangat bagus. Recommended!Membantu?Laporkan Penyalahgunaan
,2023-12-21 18:28 | Variasi: 1 Bulan,,"v*****e2023-12-21 18:28 | Variasi: 1 Bulanrespon penjual sangat cepat dan baik, seneng dah berlangganan disini, makasih seller 0:04Membantu?Laporkan Penyalahgunaan"
,2023-10-26 11:26 | Variasi: Lifetime,,"c*****k2023-10-26 11:26 | Variasi: LifetimeHanya bisa pakai sebentar dan langsung ga bisa lagi, dichat di wa maupun aplikasi tidak dibalas. Brp hri di balas dengan ancaman wajib bintang 5 baru dikasih update annya.. jd ini ga murni lifetime tapi kejar2an sama seller.. sekuat2kuatnya ngejar dan selama seller aktif aja 8Laporkan Penyalahgunaan"
,2023-08-09 14:10 | Variasi: Lifetime,,"r*****i2023-08-09 14:10 | Variasi: LifetimeMantap berfungsi dengan baik! Semoga tidak ada kendala, admin merespon dengan baik, mudah2an aftersalesnya juga 🙏🏻25Laporkan Penyalahgunaan"
diar_kun,2023-09-29 14:32 | Variasi: 1 Bulan,,"diar_kun2023-09-29 14:32 | Variasi: 1 BulanFitur Terbaik: bagusSepadan dengan Harga: murahsesuai pesanan, semoga tidak ada masalahMembantu?Laporkan Penyalahgunaan"
amrunhore,2023-04-25 16:26 | Variasi: 1 Bulan,,amrunhore2023-04-25 16:26 | Variasi: 1 BulanFitur Terbaik: cgpt 4 nikmat kalo yg lain nganggurSepadan dengan Harga: worthy la yaUntuk explore dan coba2 firur is good. Jika untuk beli serius memang private aja. Btw good buat odong2Membantu?Laporkan Penyalahgunaan
nazihahyra,2023-06-30 08:20 | Variasi: 1 Bulan,,"nazihahyra2023-06-30 08:20 | Variasi: 1 BulanSepadan dengan Harga: ✔Fitur Terbaik: ✔BAGUS BANGEEET, fastrespon dan tidak berbelitMembantu?Laporkan Penyalahgunaan"
,2023-12-27 13:46 | Variasi: 3 Bulan,,g*****e2023-12-27 13:46 | Variasi: 3 BulanBeli 3 bulan tapi baru 1 bulan udh ga bisa dipake. Di chat ga ada respon sama sekali2Laporkan Penyalahgunaan
mirfanj01052016,2023-07-14 05:45 | Variasi: 1 Bulan,,"mirfanj010520162023-07-14 05:45 | Variasi: 1 BulanFitur Terbaik: Sangat baik 🤠Sepadan dengan Harga: Sangat sepadan dengan harganya 😁Pelayanan bagus, cepat, dan sangat baik. Lanjutkan guys 😁🙏Membantu?Laporkan Penyalahgunaan"
,2023-07-07 10:00 | Variasi: 1 Bulan,,n*****e2023-07-07 10:00 | Variasi: 1 BulanSepadan dengan Harga: bestFitur Terbaik: bestLupa kasih nilai padahal fast respond banget!!Membantu?Laporkan Penyalahgunaan
,2024-09-06 15:58 | Variasi: 1 Bulan,,"t*****k2024-09-06 15:58 | Variasi: 1 BulanFungsi: berfungsi dengan baikPenggunaan: sangat membantuSemuanya berjalan dengan baik, terima kasih penjualMembantu?Laporkan Penyalahgunaan"
,2024-10-08 21:07 | Variasi: 1 Bulan,,k*****72024-10-08 21:07 | Variasi: 1 BulanFungsi: berfungsi dengan baikPenggunaan: sangat membantuRespon penjual ramah dan quick responMembantu?Laporkan Penyalahgunaan
,2024-09-07 11:18 | Variasi: 1 Bulan,,i*****o2024-09-07 11:18 | Variasi: 1 BulanFungsi: baikDesain: mudah di pahamiPenggunaan: membantuBarang sudah diterima dengan baik pengiriman cepat harga murah masih budget pelajar cukupMembantu?Laporkan Penyalahgunaan
rohmahagengmursita11,2023-12-25 22:59 | Variasi: Lifetime,,rohmahagengmursita112023-12-25 22:59 | Variasi: LifetimeMantap bisa dipakai meskipun banyak orang dan harus selalu chat admin jika ada kendala daan direspon baik oleh admin. Cuman saya yg biasa kerja saampai malam jd harus chat admin terusMembantu?Laporkan Penyalahgunaan
,2024-07-02 19:57 | Variasi: 1 Bulan,,"_*****s2024-07-02 19:57 | Variasi: 1 BulanFungsi: baca desc produk aja:)Desain: simpel n mudah dipahamiPenggunaan: sangat membantuProses log in nya mudah, harga murmerrr, tapi sayang ada batasan/limit buat nanya ke AI nya. Selebihnya ok bangett. Thankyou! 0:058Laporkan Penyalahgunaan"
nurfebrianasari,2024-05-28 20:45 | Variasi: 1 Bulan,,"nurfebrianasari2024-05-28 20:45 | Variasi: 1 BulanFungsi: baikDesain: baikPenggunaan: baikPacking rapi aman dan terkendali. 
Pengiriman lancar jaya sampai ke Belitung. 
Paket lengkap tak kurang satu pun. 
Ma'af fotonya beda. 
Thanks to seller. 
Thanks to shoppe. 
Berkah ya buat kita swmua. 
AamiinMembantu?Laporkan Penyalahgunaan"
pramudyoprim,2024-02-28 23:42 | Variasi: 1 Bulan,,"pramudyoprim2024-02-28 23:42 | Variasi: 1 BulanBaru dipakai 1x sudah antri 3jam.
Penjual di hubungi berkali kali namun tidak ada respon dan solusi.
Bukan tentang nominalnya, namun pada diskripsi tertulis jika ada kendala hubungi penjual, namun tidak ada rspon juga.3Laporkan Penyalahgunaan"
thyo.bloye,2023-06-11 14:27 | Variasi: 1 Bulan,,"thyo.bloye2023-06-11 14:27 | Variasi: 1 BulanGPT 4 nya sharing sama user lain, kalo beruntung bisa search 1 - 2x aja per 3 jam
Kalo lagi sial, bisa seharian ga dapet gpt4
Tapi dapet gpt 3,5 + response lebih cepet udah worth it sih1Laporkan Penyalahgunaan"
,2023-04-03 14:32 | Variasi: 3 Bulan,,i*****n2023-04-03 14:32 | Variasi: 3 BulanFitur Terbaik: bermanfaatSeller mau bertanggung jawab… jika akun yang diberi eror dan di ganti8Laporkan Penyalahgunaan
toko_risma01,2023-10-10 00:39 | Variasi: 1 Bulan,,toko_risma012023-10-10 00:39 | Variasi: 1 BulanSepadan dengan Harga: mantapFitur Terbaik: okebanguss wes pokoknya mantap ajep ajep lah yaw sip pollMembantu?Laporkan Penyalahgunaan
rimbasu,2023-05-26 09:42 | Variasi: 1 Bulan,,rimbasu2023-05-26 09:42 | Variasi: 1 BulanSepadan dengan Harga: worth it lah walaupun akun sharingFitur Terbaik: ChatGPT 4Membantu?Laporkan Penyalahgunaan
,2023-10-14 22:19 | Variasi: 1 Bulan,,"a*****e2023-10-14 22:19 | Variasi: 1 BulanSepadan dengan Harga: maybeFitur Terbaik: ya begitu lahbagus sih tapi buat orang yang pake chat gpt sewajarnya, kalo pakenya intens kurang recomended soalnya dipake orang banyak jadi kadang pas pake tb tb history chatnya direset jadi ilang semua chat kita, trus kadang kena limit jadi dibalikin ke chat gpt 3 trus besok baru bisa gpt 4 lagi4Laporkan Penyalahgunaan"
,2024-11-01 15:00 | Variasi: 1 Bulan,,"s*****52024-11-01 15:00 | Variasi: 1 BulanAsli penjual slow respon banget, sampai mau satu hari aku nungguin 0:04Membantu?Laporkan Penyalahgunaan"
muhammad.hamid,2023-10-26 22:23 | Variasi: 1 Bulan,,"muhammad.hamid2023-10-26 22:23 | Variasi: 1 BulanFitur Terbaik: sungguh ini pertama kali kasih rating rendahSepadan dengan Harga: lebih ke ngga bisa di gunakan sih,udah nyoba banyak di kasih pilihan tapi ngga berfungsiMembantu?Laporkan Penyalahgunaan"
iqbal_bachtiar96,2023-10-26 13:53 | Variasi: 1 Bulan,,iqbal_bachtiar962023-10-26 13:53 | Variasi: 1 BulanSepadan dengan Harga: lumayanFitur Terbaik: gpt 4Terima kasih barangnya bisa digunakan walaupun kadang sering² bermasalah tapi pihak penjual mau tanggung jawab.Membantu?Laporkan Penyalahgunaan
shilajit,2023-08-02 00:33 | Variasi: 1 Bulan,,"shilajit2023-08-02 00:33 | Variasi: 1 BulanHati Hati
It's model is of account sharing, most of the times gpt 4 will be unavailable to use due to many people using at a time and exceeding the usage cap, better use the free version and save your time and money!Update PenilaianIt's good 13Laporkan Penyalahgunaan"
,2024-01-30 19:40 | Variasi: 1 Bulan,,"e*****n2024-01-30 19:40 | Variasi: 1 Bulanbeli untuk 1 bulan, baru 2 minggu sudah ke lock, mana seller respon lemot, tidak rekomenMembantu?Laporkan Penyalahgunaan"
_orvtdx_jp,2024-03-07 18:05 | Variasi: 1 Bulan,,"_orvtdx_jp2024-03-07 18:05 | Variasi: 1 Bulan40 pesan/3 jam, jd kadang perlu nunggu dulu buat paks gpt4 nyaMembantu?Laporkan Penyalahgunaan"
,2023-08-30 11:55 | Variasi: 1 Bulan,,a*****y2023-08-30 11:55 | Variasi: 1 BulanTerlalu banyak user jadi kadang error karena antre pakainyaMembantu?Laporkan Penyalahgunaan
,2023-06-14 05:43 | Variasi: 1 Bulan,,"1*****d2023-06-14 05:43 | Variasi: 1 Bulanakun sharingnya sudah terlalu banyak yg pakai, jadi tidak optimal susah untuk digunakan.2Laporkan Penyalahgunaan"
verdy7892,2023-07-27 05:08 | Variasi: 1 Bulan,,"verdy78922023-07-27 05:08 | Variasi: 1 BulanSemoga sesuai dengan deskripsi lah, awet tidak ada gangguan 0:041Laporkan Penyalahgunaan"
,2023-03-22 02:13 | Variasi: 1 Bulan,,"l*****x2023-03-22 02:13 | Variasi: 1 Bulankadang nd kebagian pake(lebih sering), kalau mau mending private aja7Laporkan Penyalahgunaan"
7hsr34p3w1,2024-06-04 10:44 | Variasi: 1 Bulan,,7hsr34p3w12024-06-04 10:44 | Variasi: 1 BulanBerbahasa korea. Kurang faham bahasanyaMembantu?Laporkan Penyalahgunaan
rksakti,2024-01-27 11:13 | Variasi: 1 Bulan,,rksakti2024-01-27 11:13 | Variasi: 1 BulanSesuai dengan harga siy.. agak terhambatMembantu?Laporkan Penyalahgunaan
abbah_ghanim,2023-12-20 08:20 | Variasi: 1 Bulan,,abbah_ghanim2023-12-20 08:20 | Variasi: 1 BulanKarena sharing akun jdinya mesti cepet2an makeknya.. oke sihMembantu?Laporkan Penyalahgunaan
robiartarch,2024-02-17 22:14 | Variasi: 1 Bulan,,"robiartarch2024-02-17 22:14 | Variasi: 1 BulanGa unlimited, gk bisa terpakai karena udah di ambil duluan sama yang lainMembantu?Laporkan Penyalahgunaan"
awalbahasoan,2024-01-02 11:15 | Variasi: Lifetime,,"awalbahasoan2024-01-02 11:15 | Variasi: LifetimeBagus, namun kebijakan chat gpt premium membatasi pertanyaan menjadikan akun bersama      terbatas pada jam jam tertentu. Berharap setiap akun premium dibatasi juga orangnya mungkin 10 orang per akunMembantu?Laporkan Penyalahgunaan"
,2024-06-16 23:15 | Variasi: 1 Bulan,,"s*****t2024-06-16 23:15 | Variasi: 1 Bulanbukan chatgpt tapi chatbotapp.ai, gpp lah setidaknya bisa milih gpt4o, sayangnya sepertinya tidak bisa upload dokumen seperti di chatgpt openaiMembantu?Laporkan Penyalahgunaan"
samuel7up,2023-03-30 07:07 | Variasi: 1 Bulan,,samuel7up2023-03-30 07:07 | Variasi: 1 BulanTidak pernah bisa di gunakan selalu error2Laporkan Penyalahgunaan
