Nama pembeli,Tanggal pembelian,Review,Column 4,Rating,Sentimen
chanraharjo,2023-05-08 22:15 | Variasi: 1 Bulan,"Sangat rekomendasi sekali baik dari segi pelayanan penjualan,  staff yg ramah dan sangat membantu di dalam setiap pertanyaan. Bahkan saya diinfo untuk kepastian yang sudah saya beli apakah benar. Tolo lain pasti tidak peduli yg penting sudah bayar lamgsung kemas dan kirim tidak akan pusing salah atau tidak","chanraharjo2023-05-08 22:15 | Variasi: 1 BulanSangat rekomendasi sekali baik dari segi pelayanan penjualan,  staff yg ramah dan sangat membantu di dalam setiap pertanyaan. Bahkan saya diinfo untuk kepastian yang sudah saya beli apakah benar. Tolo lain pasti tidak peduli yg penting sudah bayar lamgsung kemas dan kirim tidak akan pusing salah atau tidakMembantu?Laporkan Penyalahgunaan",5,Positif
ubaidillahptiq,2024-07-10 03:35 | Variasi: 1 Bulan,Fungsi: membuat sintesis kata sesuai perintah kitaDesain: lumayan bagus dan desain elegan aerodinamis dan cepatPenggunaan: membuat sintesis dan outline kata yang kita inginkan jadi konsep kalimat mengikuti desain yang kita mau dan inginkanbagus sesuai deskripsi dan iklan tetapi ada batasan nya cepat sekali tokennya habis jadi kita tunggu antrian supaya bisa dipake tapi saya saranin pakenya malem karena yang make sedikit jadi saya sering pakenya chatgpt malam ukan pagi,ubaidillahptiq2024-07-10 03:35 | Variasi: 1 BulanFungsi: membuat sintesis kata sesuai perintah kitaDesain: lumayan bagus dan desain elegan aerodinamis dan cepatPenggunaan: membuat sintesis dan outline kata yang kita inginkan jadi konsep kalimat mengikuti desain yang kita mau dan inginkanbagus sesuai deskripsi dan iklan tetapi ada batasan nya cepat sekali tokennya habis jadi kita tunggu antrian supaya bisa dipake tapi saya saranin pakenya malem karena yang make sedikit jadi saya sering pakenya chatgpt malam ukan pagiMembantu?Laporkan Penyalahgunaan,5,Positif
achil321,2023-03-27 21:30 | Variasi: 1 Bulan,Terimakasih Aplikasinya berfungsi dengan baik. Pelayanan dan produk terbaik. Admin selalu membantu dan respon cepat. Senang berbelanja di sini. Sekali lagi terimakasih Admin...!2,achil3212023-03-27 21:30 | Variasi: 1 BulanTerimakasih Aplikasinya berfungsi dengan baik. Pelayanan dan produk terbaik. Admin selalu membantu dan respon cepat. Senang berbelanja di sini. Sekali lagi terimakasih Admin...!28Laporkan Penyalahgunaan,5,Positif
,2023-07-11 22:14 | Variasi: 1 Bulan,"Sepadan dengan Harga: yesFitur Terbaik: Gpt4 plugins & code interpreterMantap, proses cepat, akun langsung bisa dipakai dengan lancar meskipun pake gpt4 nya harus cepet²an karena shared, cocok buat saya yg butuhnya kadang² aja. Sekarang udah ada code interpreter nya juga, mantaps 0:063","i*****q2023-07-11 22:14 | Variasi: 1 BulanSepadan dengan Harga: yesFitur Terbaik: Gpt4 plugins & code interpreterMantap, proses cepat, akun langsung bisa dipakai dengan lancar meskipun pake gpt4 nya harus cepet²an karena shared, cocok buat saya yg butuhnya kadang² aja. Sekarang udah ada code interpreter nya juga, mantaps 0:0638Laporkan Penyalahgunaan",5,Positif
mampir.yuksini_,2023-10-07 19:34 | Variasi: 1 Bulan,"Fitur Terbaik: MantappppppppppSepadan dengan Harga: Sangattt TerjangkauBaguss , dari pelayanan juga bagusss  Recomend saya sudah order lebih dari 1 kalii 0:08","mampir.yuksini_2023-10-07 19:34 | Variasi: 1 BulanFitur Terbaik: MantappppppppppSepadan dengan Harga: Sangattt TerjangkauBaguss , dari pelayanan juga bagusss  Recomend saya sudah order lebih dari 1 kalii 0:087Laporkan Penyalahgunaan",5,Positif
,2023-10-22 17:03 | Variasi: 1 Bulan,Fitur Terbaik: mantapSepadan dengan Harga: sesuaiPke..programnya sidah bisa dipakai..tapi ya memang rebutan sih..kadang ga dapat krn kiata 3 jam an udah penuh.. 0:05,m*****n2023-10-22 17:03 | Variasi: 1 BulanFitur Terbaik: mantapSepadan dengan Harga: sesuaiPke..programnya sidah bisa dipakai..tapi ya memang rebutan sih..kadang ga dapat krn kiata 3 jam an udah penuh.. 0:053Laporkan Penyalahgunaan,5,Positif
Pengguna Shopee,2023-10-09 09:44 | Variasi: 1 Bulan,Fitur Terbaik: BagusSepadan dengan Harga: SepadanSaya sudah pakai dan memang chatgpt nya sudah versi pro 0:07,Pengguna Shopee2023-10-09 09:44 | Variasi: 1 BulanFitur Terbaik: BagusSepadan dengan Harga: SepadanSaya sudah pakai dan memang chatgpt nya sudah versi pro 0:072Laporkan Penyalahgunaan,5,Positif
nurfebrianasari,2024-03-02 19:13 | Variasi: 1 Bulan,Packing rapi aman dan terkendali.  Pengiriman lancar jaya sampai ke Belitung.  Anak sy suka sekali....  Alhamdulillah....  Thanks to seller.  Thanks to shoppe.  Semoga Berkah buat kita semua.  Aamiin,nurfebrianasari2024-03-02 19:13 | Variasi: 1 BulanPacking rapi aman dan terkendali.  Pengiriman lancar jaya sampai ke Belitung.  Anak sy suka sekali....  Alhamdulillah....  Thanks to seller.  Thanks to shoppe.  Semoga Berkah buat kita semua.  AamiinMembantu?Laporkan Penyalahgunaan,5,Positif
,2024-01-04 19:47 | Variasi: 1 Bulan,Adminnya sangat fast respon. Lalu barangnya juga bagus. Keren lah. 0:0,s*****42024-01-04 19:47 | Variasi: 1 BulanAdminnya sangat fast respon. Lalu barangnya juga bagus. Keren lah. 0:04Membantu?Laporkan Penyalahgunaan,5,Positif
rivaldo2409,2023-07-14 19:08 | Variasi: 1 Bulan,"Fitur Terbaik: rekomendasiSepadan dengan Harga: sepadanRespon cepat, tidak bertele2… rekomendasi","rivaldo24092023-07-14 19:08 | Variasi: 1 BulanFitur Terbaik: rekomendasiSepadan dengan Harga: sepadanRespon cepat, tidak bertele2… rekomendasi2Laporkan Penyalahgunaan",5,Positif
,2023-03-19 10:30 | Variasi: 1 Bulan,"Seller fast respon banget, no minus, proses cepat, langsung bisa digunakan, keren3","r*****n2023-03-19 10:30 | Variasi: 1 BulanSeller fast respon banget, no minus, proses cepat, langsung bisa digunakan, keren30Laporkan Penyalahgunaan",5,Positif
ahmadsyagif,2023-07-13 21:47 | Variasi: 1 Bulan,Sepadan dengan Harga: sepadanFitur Terbaik: plus plusMantap sellernya gkpke lama langsung plus bs chat sepuasnya. Gk perlu diragukan lagi. Trimaksih semoga berkah dan manfaat,ahmadsyagif2023-07-13 21:47 | Variasi: 1 BulanSepadan dengan Harga: sepadanFitur Terbaik: plus plusMantap sellernya gkpke lama langsung plus bs chat sepuasnya. Gk perlu diragukan lagi. Trimaksih semoga berkah dan manfaat4Laporkan Penyalahgunaan,5,Positif
,2023-05-29 21:39 | Variasi: 1 Bulan,"Sepadan dengan Harga: masih trial sebulan, cocok lanjutFitur Terbaik: emang ga kaleng"" gpt 3.5 dan 4 kualitas jawabannya bisa bikin lebih paham dari gpt 3Buat user lain, tolong lu harus tau ini akun sharing. Ada limit 25 pesan per 3 jam. Gw liat yg make GPT 4 pertanyaannya kaya bocah SD, padahal GPT 3.5 sudah cukup buat jawab pertanyaan lu. Bukannya ngelarang make, tapi lu harus tahu fungsinya dulu lah, biar user lain bisa pakai GPT 4 juga. Haduh, kalau FOMO minimal ga boleh minim literasi ygy ✌","m*****n2023-05-29 21:39 | Variasi: 1 BulanSepadan dengan Harga: masih trial sebulan, cocok lanjutFitur Terbaik: emang ga kaleng"" gpt 3.5 dan 4 kualitas jawabannya bisa bikin lebih paham dari gpt 3Buat user lain, tolong lu harus tau ini akun sharing. Ada limit 25 pesan per 3 jam. Gw liat yg make GPT 4 pertanyaannya kaya bocah SD, padahal GPT 3.5 sudah cukup buat jawab pertanyaan lu. Bukannya ngelarang make, tapi lu harus tahu fungsinya dulu lah, biar user lain bisa pakai GPT 4 juga. Haduh, kalau FOMO minimal ga boleh minim literasi ygy ✌9Laporkan Penyalahgunaan",5,Positif
karjaw,2023-08-21 08:01 | Variasi: 1 Bulan,Sepadan dengan Harga: harga murah sayangnya gak pernah bisa di pakai karena limit. harus sabar menunggu jam dan keroyokan sama user lain.Fitur Terbaik: bentrok melulu karena akun shared.,karjaw2023-08-21 08:01 | Variasi: 1 BulanSepadan dengan Harga: harga murah sayangnya gak pernah bisa di pakai karena limit. harus sabar menunggu jam dan keroyokan sama user lain.Fitur Terbaik: bentrok melulu karena akun shared.5Laporkan Penyalahgunaan,5,Positif
otetatsuya,2023-07-07 09:04 | Variasi: 3 Bulan,Fitur Terbaik: Murah dan cepatSepadan dengan Harga: sepadanHanya mesti bersabar karena yang pake kadang banyak.,otetatsuya2023-07-07 09:04 | Variasi: 3 BulanFitur Terbaik: Murah dan cepatSepadan dengan Harga: sepadanHanya mesti bersabar karena yang pake kadang banyak.6Laporkan Penyalahgunaan,5,Positif
randyfahrizall,2023-07-25 16:35 | Variasi: 3 Bulan,"Fitur Terbaik: TERBAIK , GAK BOHONGSepadan dengan Harga: SANGAT WORTH ITAdmin ramah","randyfahrizall2023-07-25 16:35 | Variasi: 3 BulanFitur Terbaik: TERBAIK , GAK BOHONGSepadan dengan Harga: SANGAT WORTH ITAdmin ramah1Laporkan Penyalahgunaan",5,Positif
airlangit,2023-06-02 06:31 | Variasi: 1 Bulan,"Sepadan dengan Harga: real chatGPT plus premiumFitur Terbaik: ada 2 pilihan versi 3,5 atau versi 4harga murah real akun recommended seller","airlangit2023-06-02 06:31 | Variasi: 1 BulanSepadan dengan Harga: real chatGPT plus premiumFitur Terbaik: ada 2 pilihan versi 3,5 atau versi 4harga murah real akun recommended sellerMembantu?Laporkan Penyalahgunaan",5,Positif
,2023-03-30 07:54 | Variasi: 1 Bulan,"akun berfungsi, tp terlalu sering dihapus history chatnya. setidaknya tunggu 24 jam baru hapus","k*****12023-03-30 07:54 | Variasi: 1 Bulanakun berfungsi, tp terlalu sering dihapus history chatnya. setidaknya tunggu 24 jam baru hapus1Laporkan Penyalahgunaan",5,Positif
seraga_santri,2023-03-30 12:56 | Variasi: 1 Bulan,Sepadan dengan Harga: lumayan sepan dengan hargakalau ngak mau rebutan atau error karna history di hapus orang rekomendasi yang privat,seraga_santri2023-03-30 12:56 | Variasi: 1 BulanSepadan dengan Harga: lumayan sepan dengan hargakalau ngak mau rebutan atau error karna history di hapus orang rekomendasi yang privat1Laporkan Penyalahgunaan,5,Positif
riozalukhu_1210,2023-05-05 09:04 | Variasi: 1 Bulan,"Sepadan dengan Harga: worth it lah kalo mau beli, saran kalo mau yg enak beli yg private ajaFitur Terbaik: gpt 4","riozalukhu_12102023-05-05 09:04 | Variasi: 1 BulanSepadan dengan Harga: worth it lah kalo mau beli, saran kalo mau yg enak beli yg private ajaFitur Terbaik: gpt 41Laporkan Penyalahgunaan",5,Positif
achmad.hamdiyat,2023-09-05 04:19 | Variasi: 3 Bulan,"Pelayanan oke.. Walaupun antriannya mayan, seller amanah dan bertanggung jawab..","achmad.hamdiyat2023-09-05 04:19 | Variasi: 3 BulanPelayanan oke.. Walaupun antriannya mayan, seller amanah dan bertanggung jawab..Membantu?Laporkan Penyalahgunaan",5,Positif
randyfahrizall,2023-07-01 09:03 | Variasi: 1 Bulan,"Sepadan dengan Harga: saya sangat senangFitur Terbaik: mantap saya sangat sukaSaya sangat suka , LANCAR JAYA","randyfahrizall2023-07-01 09:03 | Variasi: 1 BulanSepadan dengan Harga: saya sangat senangFitur Terbaik: mantap saya sangat sukaSaya sangat suka , LANCAR JAYAMembantu?Laporkan Penyalahgunaan",5,Positif
,2023-07-15 20:48 | Variasi: 1 Bulan,Sepadan dengan Harga: sesuai sepadan dengan hargaFitur Terbaik: mantapRekomendasi dah aman sentosa belm ada kendala,z*****r2023-07-15 20:48 | Variasi: 1 BulanSepadan dengan Harga: sesuai sepadan dengan hargaFitur Terbaik: mantapRekomendasi dah aman sentosa belm ada kendala1Laporkan Penyalahgunaan,5,Positif
,2024-02-15 16:57 | Variasi: 3 Bulan,"Sangat sangattt bagus sekali, respon dari admin juga sangat cepat dan super ramahhh. Ga nyesel buat beli disini dan bakal repeat order. Makasihhh banyakkk🙏🏼🙏🏼🔥🌾","r*****12024-02-15 16:57 | Variasi: 3 BulanSangat sangattt bagus sekali, respon dari admin juga sangat cepat dan super ramahhh. Ga nyesel buat beli disini dan bakal repeat order. Makasihhh banyakkk🙏🏼🙏🏼🔥🌾Membantu?Laporkan Penyalahgunaan",5,Positif
,2024-05-31 21:24 | Variasi: 1 Bulan,"Sangat rekomendasi untuk kawan kawan lain.  Seller ramah, respon chat 24 jam.  Pokoknya gak bakalan kecewa.  Cuma harus sabarr okey.","a*****_2024-05-31 21:24 | Variasi: 1 BulanSangat rekomendasi untuk kawan kawan lain.  Seller ramah, respon chat 24 jam.  Pokoknya gak bakalan kecewa.  Cuma harus sabarr okey.Membantu?Laporkan Penyalahgunaan",5,Positif
bennicael,2024-03-30 16:25 | Variasi: 1 Bulan,"Produk samgat oke, admin fast resp terkait garansi, produk juga original pokonya sgt recommend","bennicael2024-03-30 16:25 | Variasi: 1 BulanProduk samgat oke, admin fast resp terkait garansi, produk juga original pokonya sgt recommendMembantu?Laporkan Penyalahgunaan",5,Positif
sonsi71003,2024-03-16 10:37 | Variasi: Lifetime,"Bagus banget kedua kalinya beli dsini, kata aku gausah ragu langsung co aja, responnya cepat dibantu juga dan gptnya kenceng keren","sonsi710032024-03-16 10:37 | Variasi: LifetimeBagus banget kedua kalinya beli dsini, kata aku gausah ragu langsung co aja, responnya cepat dibantu juga dan gptnya kenceng kerenMembantu?Laporkan Penyalahgunaan",5,Positif
arry_hutomo,2023-06-04 10:28 | Variasi: Lifetime,"Thanks for this seller, very helpfull and kindness juara deh terbaik","arry_hutomo2023-06-04 10:28 | Variasi: LifetimeThanks for this seller, very helpfull and kindness juara deh terbaikMembantu?Laporkan Penyalahgunaan",5,Positif
imampasli,2023-10-21 19:41 | Variasi: 6 Bulan,"Respon penjualnya cepat, komunikasinya bagus sehingga sangat membantu dlm menginstall aplikasinya. Mantul","imampasli2023-10-21 19:41 | Variasi: 6 BulanRespon penjualnya cepat, komunikasinya bagus sehingga sangat membantu dlm menginstall aplikasinya. MantulMembantu?Laporkan Penyalahgunaan",5,Positif
finakholijz,2024-02-04 08:20 | Variasi: 3 Bulan,"Udh pesen 2x, fast respon, psen 3 bln ya bnr2 smpe 3 bln. Mantap. Pertahankan biar bs jd langganan","finakholijz2024-02-04 08:20 | Variasi: 3 BulanUdh pesen 2x, fast respon, psen 3 bln ya bnr2 smpe 3 bln. Mantap. Pertahankan biar bs jd langgananMembantu?Laporkan Penyalahgunaan",5,Positif
,2024-01-01 06:50 | Variasi: 1 Bulan,Mudah digunakan dan sangat bermanfaat untuk todler yang ingin mencari artikel tugas paud. 🙏,a*****n2024-01-01 06:50 | Variasi: 1 BulanMudah digunakan dan sangat bermanfaat untuk todler yang ingin mencari artikel tugas paud. 🙏Membantu?Laporkan Penyalahgunaan,5,Positif
faditukche,2023-06-22 17:39 | Variasi: 1 Bulan,PUAS BANGET SAMA PROSESNYA.. JUGA FAST RESPON TIDAK BERTELE TELE REKOMEN BGT,faditukche2023-06-22 17:39 | Variasi: 1 BulanPUAS BANGET SAMA PROSESNYA.. JUGA FAST RESPON TIDAK BERTELE TELE REKOMEN BGTMembantu?Laporkan Penyalahgunaan,5,Positif
hamzafq_,2023-12-05 16:08 | Variasi: 1 Bulan,ceffat pelayanannya dan works like a charm. great product. gpt 4 abit overrated tho fr,hamzafq_2023-12-05 16:08 | Variasi: 1 Bulanceffat pelayanannya dan works like a charm. great product. gpt 4 abit overrated tho frMembantu?Laporkan Penyalahgunaan,5,Positif
firdausvolte,2023-05-08 10:25 | Variasi: 1 Bulan,Fitur Terbaik: tersedia juga GPT 4 hanya saja dibatasi oleh WaktuSepadan dengan Harga: ada fitur ada pula hargaSemoga kedepannya respon penjualnya lebih cepat lagi dan layanan berlangganan lebih variatif dan beragam Terimakasih 🙏🏻 jaya dan sukses selalu,firdausvolte2023-05-08 10:25 | Variasi: 1 BulanFitur Terbaik: tersedia juga GPT 4 hanya saja dibatasi oleh WaktuSepadan dengan Harga: ada fitur ada pula hargaSemoga kedepannya respon penjualnya lebih cepat lagi dan layanan berlangganan lebih variatif dan beragam Terimakasih 🙏🏻 jaya dan sukses selalu5Laporkan Penyalahgunaan,5,Positif
orlandospyro,2024-04-12 20:50 | Variasi: Lifetime,Pelayanan Cepat dengan Harga terbaik. Udah pembelian ke-2 kali. Thank you dan sukses terus seller!,orlandospyro2024-04-12 20:50 | Variasi: LifetimePelayanan Cepat dengan Harga terbaik. Udah pembelian ke-2 kali. Thank you dan sukses terus seller!Membantu?Laporkan Penyalahgunaan,5,Positif
,2024-02-03 09:10 | Variasi: 1 Bulan,"Makasih, sellernya sangat fastresp dan baik, memastikan berkali-kali dan di guide sampai bisa 🫶🏻🫶🏻🥺 kewren poll","k*****i2024-02-03 09:10 | Variasi: 1 BulanMakasih, sellernya sangat fastresp dan baik, memastikan berkali-kali dan di guide sampai bisa 🫶🏻🫶🏻🥺 kewren pollMembantu?Laporkan Penyalahgunaan",5,Positif
,2023-12-10 06:52 | Variasi: 1 Bulan,"Mantap seller amanah, barang sesuai. Repeat order lah gass 0:0","a*****82023-12-10 06:52 | Variasi: 1 BulanMantap seller amanah, barang sesuai. Repeat order lah gass 0:04Membantu?Laporkan Penyalahgunaan",5,Positif
ditanr_29,2023-12-25 17:53 | Variasi: 1 Bulan,"Produk bagus dan Puas belanja! Harga terjangkau, kualitas oke. Rekomendasi! Pelayanan ramah dan cepat, barang sesuai harapan.","ditanr_292023-12-25 17:53 | Variasi: 1 BulanProduk bagus dan Puas belanja! Harga terjangkau, kualitas oke. Rekomendasi! Pelayanan ramah dan cepat, barang sesuai harapan.Membantu?Laporkan Penyalahgunaan",5,Positif
,2023-08-10 07:28 | Variasi: 3 Bulan,Makasih banyak kak atas pelayanannya yang super ramah dan kualitas produknya sangat bagus. Recommended!,s*****r2023-08-10 07:28 | Variasi: 3 BulanMakasih banyak kak atas pelayanannya yang super ramah dan kualitas produknya sangat bagus. Recommended!Membantu?Laporkan Penyalahgunaan,5,Positif
,2023-12-21 18:28 | Variasi: 1 Bulan,"respon penjual sangat cepat dan baik, seneng dah berlangganan disini, makasih seller 0:0","v*****e2023-12-21 18:28 | Variasi: 1 Bulanrespon penjual sangat cepat dan baik, seneng dah berlangganan disini, makasih seller 0:04Membantu?Laporkan Penyalahgunaan",5,Positif
,2023-10-26 11:26 | Variasi: Lifetime,"Hanya bisa pakai sebentar dan langsung ga bisa lagi, dichat di wa maupun aplikasi tidak dibalas. Brp hri di balas dengan ancaman wajib bintang 5 baru dikasih update annya.. jd ini ga murni lifetime tapi kejar2an sama seller.. sekuat2kuatnya ngejar dan selama seller aktif aja ","c*****k2023-10-26 11:26 | Variasi: LifetimeHanya bisa pakai sebentar dan langsung ga bisa lagi, dichat di wa maupun aplikasi tidak dibalas. Brp hri di balas dengan ancaman wajib bintang 5 baru dikasih update annya.. jd ini ga murni lifetime tapi kejar2an sama seller.. sekuat2kuatnya ngejar dan selama seller aktif aja 8Laporkan Penyalahgunaan",5,Positif
,2023-08-09 14:10 | Variasi: Lifetime,"Mantap berfungsi dengan baik! Semoga tidak ada kendala, admin merespon dengan baik, mudah2an aftersalesnya juga 🙏🏻2","r*****i2023-08-09 14:10 | Variasi: LifetimeMantap berfungsi dengan baik! Semoga tidak ada kendala, admin merespon dengan baik, mudah2an aftersalesnya juga 🙏🏻25Laporkan Penyalahgunaan",5,Positif
